	Author	Ratings	Title	Description
10	JASE33	5	Better than before, But not Different	I had the original chromecast but when I moved I had so much 2.4Ghz interference that it was unusable. Now that this new one works with 5Ghz WiFi I am back to streaming again.
11	JesusRoar	5	Upgrade to CPU and WiFi	"The new CPU model in the Chromecast (2015) can be found here:
http://www.marvell.com/company/news/pressDetail.do?releaseID=7116

I purchased it recently and wanted to try it because on the old chromecast whenever my Ethernet throughput would pass 35Mbps it would begin stuttering a lot.

After trying the new Chromecast I am very impressed. There was one scene from a blu-ray rip where the Ethernet throughput would go as high as 95Mbps and there wasn't a single stutter at all. Just that alone makes this purchase worth it for me as I don't have to choose anything less than original quality now on my plex media server.

If you use anything like Plex and are a videophile and/or audiophile as you love streaming high bitrate content then I strongly recommend to upgrade to this model if you have the older chromecast.

I did these tests with the Ethernet adapter on both products."
12	socalguy	4	Chromecast is an awesome product	"This small device connected to the TV is in constant use in our home. We cut the cord and use multiple streaming services now (still save money each month and have more content). The Chromecast makes watching content form all sorts of apps very easy. 

Pros:
The setup was quick and painless. (except minor issue see cons)
The quality of video and sound is great. 
Reduces clutter as it is tiny and hidden behind the TV

Cons:
Did not connect on 5ghz until I made changes to my wifi router settings (has to be 20hz not 40hz channel width)
Hotel Network connection (or others were a web browser is required) is not possible. Google needs to create some kind of basic browser to allow the validation.

Note - make sure you understand this device is not stand alone like a Roku or Fire TV it requires a smart phone, tablet, or computer to ""Cast"" to it."
13	Gator417	5	Best $35 I ever spent!	"More powerful processor, faster and better wireless connection make this device even better than the awesome original. Plug it in, follow the 2 minute ""on screen"" instructions, and you are on to a world of streaming. Works with my laptop, phone, tablet, and Chromebook. Best Buy has them in the store too."
14	Wardawg31	4	Better than a poke in the eye	"Pros: I can cast shows from YouTube, Netflix and others and that is nice. I used the USB plug on my TV so I did not need to use the power supply. I am planning on casting a fireplace scene this Christmas. Cool.

Cons: Tends to get a bit warm. Using the USB as power leaves it running all the time regardless if I am using it or not. It needs to have a power off feature. 

Overall, it is worth the money if you have a $35 burning a hole in your pocket. So, good and better than a poke in the eye."
15	RayJ	5	Fantastic Device	I own the original chromecast device. Recently heard about the new device and did my research. I was excited to see that the new chromecasts were way better than the original ones with picking up the wifi signal, and reducing buffering. I can gladly say that since I've owned my new device, it has not disappointed. I can now watch movies in peace without pausing every few seconds to buffer. Fantastic purchase. No regrets!!!
16	Dan0h48	5	A great sequel to a great product	I loved all of my original chromecasts however I did think the wifi was a little slow. I no longer have that issue with the new model. I also, as always, received some great offers including a free movie rental with this purchase. I find it hard to even consider any other streaming device when this covers it all so well for only $35. I personally LOVE using my phone as a remote for it.
17	Gwman2001	5	Works great with new router speeds	Original model couldn't recognize the different channels on our new Comcast router. Only the slowest one. Now I can stream with full speed potential. No more buffering.
18	Gutch325	4	Good Upgrade	I have used the original Chromecast for a few months now and really liked it. This new Chromecast is great. Seems to have a better wireless signal strength and is much easier to use. Recommended.
19	Chris	3	Better Design but Plagued by Restart Issues	"I have 2 of the first generation models and I love them. I bought one of these second gens for a new TV and at first I loved everything about this new version.

I love the new look, I think it's much more appealing to look at. The flexible wire between the HDMI out and the Chromecast body also feels much more stable than the original, which I always feel is one clumsy mistake away from being destroyed.

On plugging the Chromecast in it worked well. Setup was quicker than I remember and it required little effort from plug in to watching Netflix. About a month later, though, I started to notice the Chromecast would shut off and restart while watching anything on it. I tried different apps, I tried different power sources, I even tried power cycling it. Nothing worked. What did work was switching to one of my first generation models.

It doesn't look like this is a issue that's rampant across these models because I couldn't find much information online, but it's still a bad experience for me. Because of this, I could not recommend this model to a friend."
20	TimBo	5	Better than original	This chrome cast is way better than the original. Chrome casting videos and music happens a lot faster and smoother. I would upgrade to this if you stil have the older one.
21	StevenR	4	Awesome product to make your old tv in to smart tv	"I absolutely love the chrome stick.
I have a Roku TV in our bedroom and a older 70' Plasma TV in our living room. I missed not being able to stream to our Plasma and having to use cables and adapters to connect laptop, iPad, iPhone, ...but the TV still works perfect so no need to buy a new one yet. So after some research I decided to get the Chromecast. Now with one click i mirror any screen i want.
It should get a 3/4 of a star more but that was sadly not possible. The reason I didn't give it 5 stars is because it has one little negative point for me. The product is designed as a product on the go. I understand that it if it is an new network you have to connect the stick to the new network. But you have to re input your network every time if you go to an other network. It would be nice if it had some sort of memory to store previous networks that you have connected with before. Like a cellphone has with the WiFi points it has bin connected with. It may not be possible inside the stick but maybe in the Chromecast App. Lets hope for one of the software updates.
But next to that, perfect product. Comes with USB cable and power adapter. I love it. For 35$ its a no brainer!!!"
22	xeke	5	Very versatile	"I would really give it 4.5 because nothing is perfect. But it does some surprisingly handy things that I did not expect. I like my Roku for different reasons and I like having both, but the Chromecast lets me access and watch all sorts of web-based content that can't be done with the Roku stick or my Samsung Smart TV alone. But the most innovative use was to turn my 42"" screen TV into a teleprompter for a youtube video project. I was able to open the google word doc script on my Chromebook and broadcast it to the TV screen via the Chromecast. It made my day. Saved me hours of memorization or posterboard teleprompts. This is not a feature for everybody but it does show the Chromecast's versatility."
23	NYY0420A	5	Easy Installation! Portable and Fast.	I currently have a 802.11AC wireless router and my decision came down to buying an Amazon Fire TV or Google Chromecast since they both support wireless AC. I chose the Chromecast based on the price and supposed solid integrated software build. I am pleased to say that the Google Chromecast is simply great. It was a breeze installing it and I love how it remains hidden behind my TV while plugged in via USB. Being plugged in via USB is great since the Chromecast will only be on when the TV is on as well, saves energy. It does require more work to use since there is no remote and you have to use your smartphone, tablet or computer to initiate the content stream. I have gotten used to it and everything has been streamed seamlessly. I have ZERO disconnections so far. There are no ADS or commercials that Google pushes onto you; it is just straight to the content. I am a happy customer!
24	Tomscabin	4	Good for introductory SmartTV Users	"The price is right!

Can be used with a SmartTV or a non-SmartTV.

Very portable. Great for multiple TV users or on the go. You do not have to buy 2,3,4+ Chromecasts. You just need one HDMI port IN on your TV. If you have a USB power source on your TV, great! Otherwise, this can get powered through AC.

Best feature by far is the ""Share My Screen"". Can be used with your device to show whatever is on your screen. Not just apps that integrate with Chromecast.

Easy setup, but the only thing I found annoying was I had to reboot everything (internet and TV) during setup to get all my Chromecast features to work which was not part of the directions, but is on TECH Support. I would recommend toggling every power source after setup to use as a precaution."
25	InsomniacShopaholic	4	Worth the Upgrade	"I didn't buy the original Chromecast because of its small RAM, only wifi 2.4ghz, and streaming limitations to 720p at 60fps or 1080p at 30fps. Also at the time app compatibility was limited.

This new model exceeded my expectations. The 5ghz band is much faster and doesn't cause Bluetooth interference. The backgrounds are very customizable and the link with Google+ allows lots of cool info and pics from other sources.

From my very slow laptop mirroring of the chrome browser and casting of music and video still was very clear.

From my galaxy S5 I streamed a full HD movie (the free rental with purchase) with good quality and no pausing or A/V lag.

I believe there is the option to have the Chromecast output 2 channel compressed audio in a multichannel format but I wish you could directly stream lossless audio or multichannel from your own media library. MP3 and M4A files streamed fine but surround was incompatible and 48khz 24bit 2 channel wav files came out distorted.

Overall the new Chromecast is pretty great. My only complaint is not being able to cast your own lossless audio for playback."
26	D790	5	Simply amazing!	The new Chromecast is simply amazing. It improves on everything it needed to and is now and more reliable in rooms furthest from my router.
27	123456789	1	Too many glitches	Don't waste your money, too many glitches. Also it's losing connection every minute. Very disappointed
28	rachiti	1	If you don't mind rebooting it ALL the time...	"When I purchased the original Chromecast a couple of years ago, it was fantastic. One click ""threw"" my laptop screen onto the TV no trouble. After a few months the software got less responsive but was otherwise OK. Then the power supply failed, so we bought a Chromecast II. 

Due to ""upgrades"" to the Chromecast software, it no longer single click casts for Facebook (it's 3 steps now) & takes FOREVER to cast from Chrome. Secondly, it needs to be rebooted MULTIPLE times a day as it will freeze and just stop allowing anything to cast to it. We've actually plugged it into a remote on/off switch because it hangs up THAT often. Finally, after just a few month's use, the power supply on this Chromecast II also failed. 

It serves a purpose, but it's junk both on the component level & the software. It needs a complete overhaul to make it decent again."
29	salah	5	very good	I was looking for a way to cast my Netlfix and HBO Go apps onto my VIZIO (no smart feature) and this was the answer to my prayers. It's so easy to set up - I can use my iPhone or my iPad. Very affordable as well. Keep in mind there's no remote - you will be asked to download the App to your smartphone or tablet and you control it (fast forward, pause, rewind etc.) from your device. The clarity is perfect and no delay or buffering. If your TV has an extra USB slot - that's perfect. since it's powered that way. If not, it comes with a regular plug so make sure you have the capacity to keep it powered. My TV only has one so I bought a USB port that can connect multiple USB devices. Lastly, there are a ton of apps that are supported by Chrome cast - make sure the ones you want are on there before you buy. They are all listed on their web site. Plug in and enjoy!
30	nedron	4	Cutting the cord	Purchased this to enable me to cut the Xfinity cord. It's tough not just turning on the TV and not thinking about what to watch. Chromecast requires a decision on which app to open and which show to watch. Most apps work great, Hulu, Netflix, FX. Occasionally they glitch, but I'd give them 99% satisfaction. The one that gives the most trouble is live-streaming on NBCSports. Casting from Chrome browser is the least desirable. Overall, well worth the savings from paying the cable company.. Oh, plus it will help to have a friend with cable that will allow you to use their credentials to get more channels.
31	EKLC	4	Perfectly Functional	"I bought the Chromecast in order to do one and only one thing - to stream media from my phone to a projector.

....It works as advertised, and the only minor complaint that I have is that there is no method to turn the device off - you either leave it on, or need to physically unplug the USB power supply."
32	MovieCollector	1	Not excited.	I have tried to link my cell phone to this so I could cast from the phone and so far I haven't been able to get it to work. Need to go through the online trouble shooting guide from Chromecast yet to be sure that I'm not the problem. I'm disappointed. The instructions that came with this are very straight forward but don't help if something doesn't work as presented.
33	BenSalem	4	Great but 5GHz doesn't work	Just like my old chromecast. I bought this just because it had the 5GHz support because a 2.4GHz band dies when using the microwave. Sadly the 5GHz network wont connect properly.
34	Verte	5	Faster Chromecast	At first I thought I didn't need to upgrade from the Chromecast v1 but the 5ghz was too tempting. I live in an apartment and there's so many wifi waves flying around. So far the upgrade has been loading my casts faster with no stalls ever since I upgraded on day 1. Very happy with the upgrade.
35	texstar112	4	Better than initial release	I can notice a difference now in buffering and quality of stream now due to the enhanced electronics and bigger accessory. You can power this unit via a usb port on your TV. No need to use the adapter.
36	KyThomas	5	I like it!	Purchased this so we could try some streaming apps. Setup was easy linking our TV and Android tablet. Some apps work better than others, but that will probably improve over time. And we're still exploring. If you don't have a smart TV and don't have a need/want for cable, this is a good option.
37	Dondo	1	Clunky interface	Difficult to navigate and it does not support Amazon Prime
38	Disappointed	1	This Thing does not play nice with Sling.	Had high hopes going in but this is much to frustrating to keep. We will be returning it for something that is dependable with Sling. Too many error interrupts and picture quality degradations.
39	TheDude	5	Easy to Install	The ChromeCast was easy to install and setup. I am using the USB port on the TV to power it so I did not require a plug in spot. The only hard thing about setting it up and using it is trying to decide what to cast to it from my pc and phone. It is a great deal for the price.
40	SamLee	4	I still like the 1st gen more	"I got this to replace the 1st generation Chrome Cast I gave to my parents this summer. I thought the 2nd generation will be better in all ways. The design is improved and looks more like Google logo. The power consumption seems to be better (I used to run it from USB power bank some times) but there is a major change I noticed. The buffering isn't that good as in the 1st gen. So I looked for the specs online and I found out that Google took most of the buffering memory out, This would work really fine if your internet is fast enough. for slow internet (even streaming locally) it would take forever buffering-playing simultaneously... Thing I didn't have with the old Chrome Cast.
Other than that, the same like the 1st gen. The Google Chrome Cast is a great device to add to your TV."
41	dgw062400	1	You get what you pay for!	"Pro: 
1. Price (the only reason I gave it a try)
2. Wireless to devices

Con: 
1. Very difficult to connect at a hotel if no splash page. If there is a splash page, no connectivity period! Took 2 hours with tech support for hotel to get connectivity with no splash page.
2. Limited on what can be ""cast"" without mirroring.
3. Must have Wifi.

Took this back and traded it in for an adapter. Adapter works better and allows you to run all apps. I would not recommend this product.

Just remember, you get what you pay for!"
42	d666	1	Great when it works!	I bought 2 chromecasts that worked for a while - then some days it says device missing, my workaround was to use my phone but then that couldn't find the devices. If been through all the help forums and I am sick of wasting my time trying everything on this junk
43	Wendie	5	Awesome Device	I needed something that would allow me to play music from my phone on my Tv. The associate suggested Chromecast, which I was not familiar with. I absolutely love this device. It does much more than I was looking for and basically turns my Tv into a smart Tv. Great product...thanks for the suggestion!
44	Bonez	5	Good Streaming Solution	I bought this to stream contents from my laptop to my television and it works just fine.
45	Dan1	5	Great Product	Very simple to setup and use. Was easily able to stream from many apps.
46	Sambit	5	Good product	Good to cast from laptop to TV and still can continue to work.
47	Bassnote	5	Easy setup, Easy to use	"I wanted a device that would display the Internet on my Television that didn't have all the restrictions I see with some competing devices out there. Chromecast is just that device for me. Basically it displays (casts) everything my Tablet or Smartphone has displayed on its screen. Not only does it cast (displays) the Internet shows I was wanting but its casts everything, picture taken, InstaGram, YouTube!
I am very happy with my chromecast, if it broke today, I would run out and buy another one for tonight!"
48	Anopenendedsky1	5	Great Device!	Because of this wonderful little device, I no longer have any use for cable! I can stream whatever I want to watch directly from my phone or tablet! Can't believe I waited so long to purchase!
49	DonC	4	Loads of fun	Super for streaming content, especially when using vendor apps through my cable subscription. Also the Google photo app gives the opportunity to enjoy pictures and personal video content on a big screen in HD
50	Mopo	1	Impossible	I bought this item as new during the black friday 2 x $50 offer. One of the devices was used, not new as advertised. I have been trying to return it by mail and it seems to be a task of titanic proportions for the customer care service team. After 15 acknowledgement emails I never received what I was asking for. As for the device, don't bother even trying if you have an iphone or ipad. The interaction with iOS is frustrating and many functions are lost when compared to android.
51	josephrs2012	5	This Google Chromecast Functions Well.	This Google Chromecast version is a great product and has great features. The product is comparable in overall usage and functionality, when compared to the previous Google Chromecast versions.
52	edwp	4	Works as intended	Easy way to get Netflix or HBO Go streaming to a TV that isn't smart or has apps; works from both a phone or computer. Did not have the old version so I can't really compare the two.
53	GeorgeB	5	My second one	I have a new smart TV but bought this for the chromcast features.
54	MSVP	1	Malfunction product	Not working properly. Can’t cast. Very disappointed.
55	roonytoon5	1	Works when it wants to	I'm not sure if it is the connection or what but it only works sometimes
56	Jianji	1	Hard to operate	Found it hard to use and had to return it. The connection was slow and dropped from time to time.
57	Google	1	Not so good	The connection kept breaking and shows would stop mid showing. It constantly rebooted itself. Not very good at all!
58	Walter	1	Hate this.	It streams video ok but only from a good Wi-Fi. It Will work if you hot spot from cell phone / tablet only if have a second device to stream from. Make sure your cell phone / tablet are compatible also.
59	Esha	1	Hurt My Feelings	It wouldn't connect with my android phone. Then it did, then disconnected several times. It kept disconnecting while I was watching the movie. I feel that the device is not android friendly.Totally killed the mood!
60	Dogbox	1	Too difficult to control.	Compared to a Roku this streaming device is very poor. It depends on other devices for control. I have a laptop, smartphone and google home assistant that have some ability to control it. I can't figure out how to get the audio working with any of them.
61	alextvantioch	1	garbage	this thing is very glichy and does not cast well at all
62	vbhatia9	1	One star bad service	My expectations were normal but still it didn't perform well, so many times the signal gets lost while streaming , sometimes it takes more time to find the device
63	Tuck	1	Unsatisfied	I purchased this item to stream Netflix, Youtube etc... The lag was so terrible that I was unable to watch a complete episode. I usually do not have any issues with lag but may have just been my internet provider experiencing problems.
64	danygandhi	1	Utter piece of junk	Plagued with reconnect me errors on both 2.4 and 5Ghz. My first gen chromecast has been working fine on the same router for almost 2 years.
65	Katy	5	Chrome cast	This product is great. I've used chrome cast since they have been made. Love it. Easy to use
66	Mackgeofries	5	Great	I've got a few of these now, and a bunch of the Chromecast Audio, and they're tremendous. Oddly, the backdrop feature is probably my favorite right now, which is like a slideshow of the pictures I take (and decide to include), so I have one for work, and one for personal. I have a smart TV, but end up using this the majority of the time. Kids (and adults) can lose remotes, but my phone, while it can be lost just as easily, is much less likely to be lost. Plus, with Google Photos having the cast ability, instead of crowding around a phone or computer and viewing pictures that maybe they shouldn't see... BAM! the ones I want to show them are right there on the TV for people to see.
67	Mike	5	great product	My daughter has used chromecast for netflix,etc for years, and that has been great when I visit her and we watch series & movies together. I only got a digital TV a very few years ago. I do not regularly use a smart phone, so I didn't think chromecast was for me. I hooked my laptop to the TV with an HDMI cable . Awkward to move around the laptop & use it. Awkward use the laptop while watching. Cable ends fail, and replacement cables were expensive, When I learned (again- from my daughter) that I could use my computer to control comcast; I bought it and switched over from the cables. Much better experience. I had a few glitches in connection at first, but the learning curve was steep & easy.
68	Dean	1	Difficult to set up initially.	Does not appear to be a very useful product. Has limited applications. Will try again when I have more time.
69	1984Lee	1	Not good	This products response from the phone to the t.v down to the loading was too slow. It reminded me of a dial up connection. Also the application that I thought I could stream to the device was not available. I returned the product after 10 days for a full refund.
70	BlckRse21	5	Awesome products	I can't say enough good things about this. It's great for parties or cuddling on the couch. I use my Chrome cast all the time and don't have any problems. The only thing that I'm running into is that thereally are individual apps that require payment before unlocking the casting option but that's nothing to do with the device or Chrome!
71	Heidi	5	Great for travel	I travel for work and this makes it so much nicer than having to watch hotel tv channels
72	ErzaScralet	5	Excellent device that allows me to enjoy ALL apps!	I love binge watching shows of all kinds, and my Smart TV (Sony X850C) has a lot of built in apps I use. One of my favorite genre is Anime, and unfortunately the Android TV OS does NOT have apps for Crunchyroll or Funimation, and the built in casting for the TV is sporadic when it recognizes my phone, and inconsistent when playing; losing sync between video and audio minutes in all the time. Luckily, the phone apps of Funimation and Crunchyroll have built in casting, and the Chromecast I bought here has great wifi antennas to keep a great connection. I am also on an Android device (Galaxy S7 and Nexus 5X), so the built in screen mirroring is great for watching videos from KissAnime's website on my TV without the clunky Opera Browser of my TV. If you're on Android especially, or even iOS and have apps that are not on your SMart TV or Smart Box platform, but have the casting option or you can screen mirror, I cannot recommend this enough!
73	marianoam	5	Why did I wait this long to buy it?	I've always used an Apple TV and I thought it was unbeatable. I wanted to try a Chromecast and I was really surprised. It's simple, fast (no lag) and it does what it promises.
74	BroBear75	1	Know what you are getting	I wanted to get Netflix, etc. & stream from already owned device. Service Rep in store advised this product. It didn't perform. Either he was wrong or product was inadequate. Returned product to store for refund.
75	1142ema	1	should be obvious why this isn't on amazon	won't stream and errors constantly. I would love to actually enjoy this, but apple tv is way better and doesn't require 100 BS apps to work poorly
76	gowang	5	simple and useful for everyone	in comparison to other products this one works well and i dont seem to have any complaints
77	jordans4790	5	A HUGE improvement from the first Chromecast	I loved it! It works beautifully on our TV! Casting is a lot better and the streaming quality is amazing!
78	segos	4	great device!	takes my regular tv to the next level! no need to pay for a more expensive tv just to get the smart feature!
79	SergioA	5	Great for online streaming	"We were hesitant of buying it as we thought we wouldn't really use it. As it turns out, we ended up using the unit everyday. Our Samsung 'Smart-TV' doesn't have all the apps we want to stream so we use the Chromecast for HBO Now, Youtube (the Gcast is better than the samsung app) and other random videos on the web. The only downside I see is if you want to use the tv screen as a presentation tool. We really don't need it for that, and we basically knew what we were getting upfront, so no stars deducted. The Gcast only works with Chrome (or with a Gcast extension on your browser), so unless your presentation is on Google Drive then you'll better look for another option. Same goes with pictures, videos or other content that you have on your device.
Setup is straight forward and easy. The device itself does heat up a bit if its used for a while."
80	Je10	1	Terrible	I had the first generation for my theater and I figured I should upgrade but I was disappointed when the screen kept going grey. It got to a point where I just replaced it with my original chromecast. Paid $35 for less than a month of the thing working.
81	Fantome	1	Works great, except when it doesn't	I was initially happy with the new Chromecast, but I've had to drop my rating of this product since it no longer maintains a connection to my network. When it works, it's great and faster than the original. The problem is that it does not stay connected to my network. It spends most of its time on the blue screen saying to the effect of attempting to reconnect. However, I see no evidence of a connection attempt on my access point, nor do any of my other devices have any trouble. I factory reset and reconfigured the unit three times before I gave up with it. Thankfully, it hasn't been too much money down the drain.
82	Memo	5	Great casting	I enjoy it. It does the job for when i don't want to watch movies on my phone.
83	Domingo	5	It is cheap and useful for entertainment	I use this device minimum for 60 minutes per day, specially when watching movies.
84	Nick2k	5	quick & inexpensive way to cast your videos	i own a few of the 1st generation chromecasts. they work great. this new 2nd gen is even better. flexible installation port-wise and runs faster than the 1st gen.
85	Loven	5	Extremely easy to setup and use.	Chromecast is legit! Casting content from apps such as Nextflix, Amazon, and Pandora is fantastic. Setup took less than three minutes; simply connect the device to a HDMI port, plug it in, and download the Chromecast app to complete the setup process. Additionally, casting does not drain my tablet battery. Great product for the price paid.
86	malvar15	4	I like it but I the older version is better	I like it but I the older version is better. The older one is better than this one, this one works only when its plugged in an outlet while the older version gives you an option to plug with an outlet or use the usb of the TV. I prefer the latter option because i don't have to deal with any cords.
87	SmokingGun	2	Not so good with apple	"I purchased Chromecast because I have a Samsung TV and wanted to cast content mostly from my laptop. However all the devices we have are apple and it turned out to be very difficult to cast anything form the devices without having to download extensions, plug-ins or extra apps. 

We tried it for a couple of weeks and decided it would be better to get apple TV. 

In the end I could no really say more about the functionality and quality of the product because we didn't use it for a long time but decided to write a review hoping to help people like me with mostly apple devices to have a better idea. It's probably a great product for samsung/android/chrome users and I understand that most of the limitations in apple products compatibility are by design but the lower score I give it is not because of flaws but to inform apple users of this issue with compatibility."
88	PJ723	1	I had no idea of this product's limitations	This only works on a fraction of the aps from an iPad or iPhone. The majority of the applications I wanted to use it for were non-compatible. Also, buffering between my device and the TV was an issue.
89	Stevo	4	Cool!	Well this product works fine in casting both my phone and Pad to our TV. To bad AmazonPrime isn't supported. Looking at dropping cable now!!
90	Frank	5	Fantastic and Easy to Use	You easily set this thing up through your browser or Chromecast app on your phone and bam the whole house can share instantly. It turns on the TV for you when you need it and you just have to set it when you want to watch something. Not only that, Youtube can queue videos for you and all the major apps are supported. Pandora when you're cooking and Netflix when you're bored. Its great.
91	jjkmn	4	Works fine	This is model is way better than the previous one. It has better wifi connectivity and streams better.
92	Nathan	5	Great device for casual viewing	"If you're like me, you usually pull out your phone to look up video or audio content that you want to watch. Dedicated apps like Hulu, Netflix, or podcast apps are much faster and more convenient than going to your computer or using your TV or set top box to try and load a dedicated app and then fight an on-screen keyboard without touch control to browse through and select a show.

But there's no denying how nice that TV you have is to watch.

With the Chromecast, you can have both. Instantly stream video from your phone or tablet to your TV and use your device as a remote. You can even stream web pages using Chrome on your PC. Whether you're watching the latest videos on Netflix or Hulu, enjoying the latest movie you bought from Google Play Movies, streaming online radio, or just sharing the latest cat video you found, Chromecast makes it simple. Plug it into your TV and the wall, then one tap on your phone shares the video. Couldn't be easier."
93	SquirrellyJoe	5	Increase your TV's IQ	Why spend more for a smart TV when you can build your own for $35? (Plus the cost of your dumb TV, but hey, you've already got one of those, right?) We took advantage of a bundle offer which paired a Chromecast with an RCA amplified antenna. All the money previously spent on cable TV is now applied directly to the booze budget.
94	antoniopaz	5	it works perfect	good product for its price, can do most of my streamings
95	lifewillbeok	5	amazing little device!	All you need to do is hook it up do your tv's HDMI outlet. Voila! You have a lot of apps and anything you can run in chrome streamed wirelessly from your mobile device or computer to your TV. It's very easy for me to display vacation photos and videos for my entire family to enjoy when they visit for the holidays.
96	jsanchez1040	5	Great	Works great can stream anything on my phone to the TV.
97	Bxraidernation	5	awesome streamer for tv	easy to use. just connect to tv and your home wifi.
98	4moretoys	4	Falls a little short of expectation	Could be operator error, but this item seems to have a mind of it's owns deciding when and what it will let you view. And it isn't always consistent. Sometimes you can cast whatever you want from your phone, tablet or computer. Again, could be me because AppleTV acts the same way. But the price is so low you have to at least try it.
99	Kidfirebird	5	Fast, Simple, and Easy	Great product super easy to set up. Works just as good as the previous model. I love how all my movie apps stream seamlessly to the device.
100	Barney	5	Minor improvements but still solid	This is my second Chromecast and it's pretty much the same as the older version but with stronger wifi. Also this one runs much cooler than the original (which was kinda hot but still works great). Both are plugged into the power outlet not USB port.
101	Tre3	5	Perfect and Affodable	The Chromecast is perfect for TVs to stream your online subscriptions. The only set back is that it does not support Amazon Streaming (Understandable). If you rely on Amazon Prime, then I would buy the Fire Stick or Roku.
102	enigma	3	Ok	Its okay, did not have all the features I was looking for. Went with the Apple TV instead.
103	Flyboy	1	Audio and Video Don't Sync	I was very excited to purchase this product so I could stream content from my Surface Pro 4. I had seen the reviews that said the audio and video are out of sync, but I figured it must be user error. It wasn't. I tried everything that Google suggested but nothing worked...the audio simply doesn't sync with the video. Normally, I trust Google blindly but, this time, I'm sorry to say that they let me down big time. This is a real problem that must be fixed. I returned the product for a full refund.
